x,y,z,vx,vy,vz,ax,ay,az,v_mag,a_mag
-12.29862,5.767411,21.57899,1.710183,-0.08224672,0.3105308,-0.1109129,0.02884253,0.1910168,1.740092,0.2227577
-12.26351,5.765827,21.5856,1.724779,-0.08511737,0.3144445,-0.1107587,0.04254963,0.1983617,1.755273,0.2311392
-12.22809,5.764193,21.59227,1.738611,-0.08792345,0.3179176,-0.1106538,0.056136,0.2056033,1.769624,0.2401421
-12.19239,5.762496,21.59898,1.751598,-0.09145096,0.3209354,-0.1050483,0.05126446,0.2156558,1.783104,0.245297
-12.15641,5.760739,21.60574,1.763758,-0.09491834,0.3235354,-0.09945284,0.04648579,0.2255989,1.795696,0.2508917
-12.12018,5.758922,21.61252,1.775049,-0.09832802,0.3257411,-0.09391233,0.04180079,0.2354522,1.807367,0.2569136
-12.08371,5.757047,21.61932,1.785435,-0.1016829,0.3275756,-0.08839719,0.03720698,0.2452069,1.818082,0.2632961
-12.04702,5.755115,21.62613,1.794876,-0.1049862,0.3290617,-0.08290093,0.03270291,0.25488,1.827808,0.2700109
-12.0102,5.75312,21.63298,1.803344,-0.108014,0.3302234,-0.07982382,0.002265104,0.2462068,1.836509,0.2588335
-11.97326,5.751063,21.63986,1.810861,-0.1110009,0.3310764,-0.07662901,-0.02786674,0.2376559,1.844221,0.2512546
-11.93622,5.748946,21.64675,1.817459,-0.1139531,0.3316372,-0.07330532,-0.05769511,0.2292459,1.85098,0.2474997
-11.8991,5.746767,21.65366,1.823171,-0.1168764,0.3319217,-0.06986953,-0.08722194,0.2209586,1.856821,0.2476128
-11.86191,5.744527,21.66058,1.828028,-0.1197762,0.3319453,-0.06632488,-0.1164497,0.2128093,1.861778,0.2514901
-11.82464,5.742353,21.66753,1.832186,-0.1167489,0.3317161,-0.07463188,-0.1347437,0.2133666,1.865628,0.2631561
-11.78731,5.740245,21.67452,1.835494,-0.1137062,0.3311995,-0.08278715,-0.1528891,0.2139152,1.868599,0.2756601
-11.74994,5.738204,21.68152,1.837952,-0.1106523,0.3303619,-0.09077814,-0.1708865,0.2144633,1.870682,0.2888552
-11.71254,5.736229,21.68854,1.83956,-0.1075915,0.3291694,-0.09861462,-0.1887368,0.215011,1.871873,0.3026155
-11.67513,5.734322,21.69557,1.840315,-0.1045284,0.3275884,-0.1063134,-0.206441,0.2155509,1.872164,0.3168322
-11.63771,5.732543,21.70247,1.840217,-0.09801914,0.3255504,-0.07915928,-0.2066937,0.2181666,1.87136,0.3107815
-11.60031,5.730894,21.70925,1.839244,-0.09151573,0.3231892,-0.05230229,-0.2068228,0.2208724,1.869664,0.3070762
-11.56294,5.729372,21.7159,1.837385,-0.08502118,0.3206102,-0.02571725,-0.20683,0.223661,1.867085,0.3057193
-11.52561,5.727978,21.72242,1.834631,-0.07853828,0.3179174,0.0005976114,-0.2067178,0.2265343,1.863629,0.3066763
-11.48836,5.726711,21.72881,1.83097,-0.07206991,0.3152137,0.02662105,-0.2064892,0.2294915,1.859302,0.3098594
-11.45127,5.725652,21.73516,1.826282,-0.0608695,0.3125397,0.01311284,-0.1784461,0.2006807,1.853832,0.2688637
-11.41438,5.724799,21.74148,1.820771,-0.04968886,0.3099019,-0.0002847229,-0.1507308,0.1721,1.847624,0.2287756
-11.37769,5.72415,21.74777,1.814555,-0.03852843,0.3072452,-0.01356559,-0.1233385,0.1437787,1.840786,0.1899177
-11.34121,5.723706,21.75402,1.807749,-0.02738744,0.3045162,-0.02672965,-0.09626631,0.1156877,1.833422,0.1528572
-11.30496,5.723465,21.76023,1.800468,-0.01626426,0.3016628,-0.03976385,-0.06950887,0.08786031,1.825637,0.1188784
-11.26892,5.723433,21.76641,1.792827,-0.005139053,0.2986339,-0.05031958,-0.06901858,0.06700408,1.817536,0.1085595
-11.2331,5.723609,21.77256,1.784912,0.005972579,0.2953856,-0.06075015,-0.06856836,0.04635074,1.809198,0.1026674
-11.19751,5.723994,21.77867,1.776809,0.01707266,0.2918744,-0.07104048,-0.0681567,0.02588009,1.800704,0.1017932
-11.16214,5.724586,21.78473,1.768605,0.02816333,0.2880577,-0.08120085,-0.067783,0.005608614,1.792131,0.1059225
-11.127,5.725387,21.79074,1.760382,0.03924662,0.2838931,-0.09123227,-0.06744687,-0.01447863,1.783558,0.1143767
-11.09202,5.726396,21.79661,1.75224,0.04995696,0.2793474,-0.07212789,-0.06992084,-0.01397649,1.775071,0.1014234
-11.0572,5.727615,21.80232,1.744162,0.06066276,0.2744918,-0.05320786,-0.07237418,-0.01345417,1.766671,0.09083013
-11.02254,5.729042,21.80787,1.736147,0.07136549,0.2694044,-0.03447876,-0.07480744,-0.01290291,1.758374,0.08337519
-10.98803,5.730678,21.81327,1.728194,0.0820667,0.2641624,-0.01593007,-0.07722042,-0.0123328,1.750191,0.07980513
-10.95369,5.732523,21.8185,1.720299,0.09276821,0.2588422,0.002439021,-0.07961304,-0.01173082,1.742135,0.0805096
-10.91952,5.734609,21.82355,1.712382,0.1055645,0.2534658,0.03173821,-0.0834158,-0.01794089,1.734255,0.09103508
-10.88553,5.736937,21.8284,1.704549,0.118367,0.2482089,0.06074546,-0.0871876,-0.02404692,1.726588,0.1089493
-10.85172,5.739506,21.83307,1.696826,0.1311795,0.2431923,0.0894482,-0.09092969,-0.03005846,1.719177,0.1310446
-10.81807,5.742319,21.83757,1.689237,0.1440053,0.2385358,0.1178805,-0.09464025,-0.03596098,1.712062,0.1553891
-10.78459,5.745377,21.8419,1.681807,0.1568468,0.2343578,0.1460447,-0.09831993,-0.04176468,1.705285,0.1809424
-10.75135,5.748617,21.84618,1.674647,0.1671583,0.2308197,0.1456461,-0.1300456,-0.0707896,1.698724,0.2076916
-10.71834,5.752042,21.85043,1.667788,0.1774891,0.227865,0.1452983,-0.1613689,-0.09962624,1.692614,0.2389078
-10.68556,5.755652,21.85466,1.661349,0.187841,0.2254889,0.1449845,-0.1922955,-0.1282703,1.687072,0.2728577
-10.65298,5.75945,21.85888,1.655448,0.1982147,0.2236882,0.1446883,-0.2228304,-0.1567125,1.682211,0.3084589
-10.62061,5.763436,21.86309,1.650202,0.2086103,0.2224604,0.1444499,-0.2529763,-0.1849554,1.678146,0.3450671
-10.58818,5.767532,21.8672,1.645865,0.2125393,0.2218254,0.171002,-0.2453452,-0.1386233,1.674291,0.3296245
